,title,mean rating,number of ratings
121,Remember the Titans (2000),3.74,41
122,Bamboozled (2000),2.94,8
123,Digimon: The Movie (2000),3.0,1
124,Get Carter (2000),2.5,5
125,Meet the Parents (2000),3.42,91
126,Requiem for a Dream (2000),3.92,96
127,Tigerland (2000),3.56,8
128,Two Family House (2000),5.0,1
129,"Contender, The (2000)",3.07,7
130,Dr. T and the Women (2000),2.12,4
131,"Ladies Man, The (2000)",1.58,6
132,Billy Elliot (2000),3.85,37
133,Bedazzled (2000),3.07,27
134,Pay It Forward (2000),3.44,26
135,Book of Shadows: Blair Witch 2 (2000),1.12,4
136,"Little Vampire, The (2000)",3.0,1
137,Charlie's Angels (2000),2.72,72
138,"Legend of Bagger Vance, The (2000)",3.07,15
139,Little Nicky (2000),2.5,24
140,Men of Honor (2000),3.39,14
141,Red Planet (2000),2.35,13
142,You Can Count on Me (2000),4.17,9
143,"6th Day, The (2000)",2.8,20
144,Bounce (2000),2.42,6
145,How the Grinch Stole Christmas (a.k.a. The Grinch) (2000),3.05,33
146,Rugrats in Paris: The Movie (2000),2.25,4
147,102 Dalmatians (2000),2.78,9
148,Malèna (2000),3.7,5
149,Quills (2000),3.0,6
150,Unbreakable (2000),3.48,73
151,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",3.84,110
152,Dungeons & Dragons (2000),1.83,12
153,Proof of Life (2000),3.04,12
154,Vertical Limit (2000),2.61,14
155,Snatch (2000),4.16,93
156,Chocolat (2000),3.52,47
157,"Dude, Where's My Car? (2000)",2.73,33
158,"Emperor's New Groove, The (2000)",3.72,37
159,Pollock (2000),3.54,14
160,What Women Want (2000),3.14,54
161,Finding Forrester (2000),3.71,28
162,"Gift, The (2000)",2.92,13
163,Before Night Falls (2000),4.3,5
164,Cast Away (2000),3.7,100
165,"Family Man, The (2000)",3.13,23
166,"House of Mirth, The (2000)",2.17,3
167,Miss Congeniality (2000),3.05,64
168,"O Brother, Where Art Thou? (2000)",3.81,94
169,State and Main (2000),3.88,12
170,Dracula 2000 (2000),1.8,5
171,All the Pretty Horses (2000),2.5,2
172,"Everlasting Piece, An (2000)",4.0,1
173,Thirteen Days (2000),3.92,13
174,Traffic (2000),3.9,70
175,"Claim, The (2000)",2.83,3
176,Shadow of the Vampire (2000),3.14,11
177,Antitrust (2001),3.56,8
178,Double Take (2001),2.5,2
179,Save the Last Dance (2001),2.84,16
180,Panic (2000),4.0,2
181,"Pledge, The (2001)",3.29,7
182,Sugar & Spice (2001),2.71,7
183,"Wedding Planner, The (2001)",2.91,22
184,"With a Friend Like Harry... (Harry, un ami qui vous veut du bien) (2000)",4.5,2
185,Head Over Heels (2001),2.5,4
186,Left Behind: The Movie (2000),4.25,2
187,Valentine (2001),3.5,1
188,In the Mood For Love (Fa yeung nin wa) (2000),4.21,14
189,"Million Dollar Hotel, The (2001)",3.0,3
190,Nico and Dani (Krámpack) (2000),4.0,2
191,Hannibal (2001),2.94,39
192,Saving Silverman (Evil Woman) (2001),2.77,11
193,Vatel (2000),4.25,2
194,Down to Earth (2001),2.42,12
195,Recess: School's Out (2001),4.0,2
196,Sweet November (2001),3.31,8
197,Company Man (2000),2.0,1
198,"Price of Milk, The (2000)",4.5,1
199,Monkeybone (2001),2.08,6
200,3000 Miles to Graceland (2001),2.71,7
201,"Widow of St. Pierre, The (Veuve de Saint-Pierre, La) (2000)",4.12,4
202,"Mexican, The (2001)",3.35,23
203,"Caveman's Valentine, The (2001)",3.5,2
204,Series 7: The Contenders (2001),2.5,2
205,15 Minutes (2001),3.0,10
206,Get Over It (2001),2.75,4
207,Long Night's Journey Into Day (2000),4.0,1
208,Enemy at the Gates (2001),3.51,40
209,Exit Wounds (2001),2.75,2
210,"Dish, The (2001)",4.0,7
211,Memento (2000),4.12,159
212,Heartbreakers (2001),2.15,10
213,Say It Isn't So (2001),2.12,4
214,Someone Like You (2001),3.5,5
215,Spy Kids (2001),2.95,28
216,Tomcats (2001),2.0,6
217,"Tailor of Panama, The (2001)",3.2,5
218,Amores Perros (Love's a Bitch) (2000),3.93,23
219,Keep the River on Your Right: A Modern Cannibal Tale (2000),3.5,1
220,"Gleaners & I, The (Les glaneurs et la glaneuse) (2000)",4.0,1
221,Along Came a Spider (2001),3.15,17
222,Blow (2001),3.81,51
223,Just Visiting (2001),2.0,1
224,Pokémon 3: The Movie (2001),2.1,5
225,Beautiful Creatures (2000),2.0,1
226,Brigham City (2001),4.0,1
227,Bridget Jones's Diary (2001),3.62,65
228,Joe Dirt (2001),2.38,21
229,Josie and the Pussycats (2001),1.75,6
230,Chopper (2000),2.0,1
231,"Circle, The (Dayereh) (2000)",3.25,2
232,Crocodile Dundee in Los Angeles (2001),2.19,13
233,Freddy Got Fingered (2001),2.2,10
234,"Center of the World, The (2001)",3.67,3
235,"Luzhin Defence, The (2000)",3.5,4
236,"Visit, The (2000)",2.0,1
237,Driven (2001),3.0,5
238,One Night at McCool's (2001),3.4,5
239,Town & Country (2001),2.5,2
240,"Mummy Returns, The (2001)",3.09,45
241,Under the Sand (2000),4.5,2
242,"Knight's Tale, A (2001)",3.34,41
243,Bread and Roses (2000),4.0,3
244,Startup.com (2001),3.6,5
245,Angel Eyes (2001),1.62,4
246,Shrek (2001),3.87,170
247,"Fast Food, Fast Women (2000)",4.5,1
248,Moulin Rouge (2001),3.59,55
249,Pearl Harbor (2001),2.97,43
250,"Man Who Cried, The (2000)",3.5,2
251,Yi Yi (2000),4.6,5
252,"Animal, The (2001)",2.14,11
253,Big Eden (2000),4.5,1
254,Evolution (2001),3.04,27
255,Swordfish (2001),3.1,34
256,"Anniversary Party, The (2001)",4.0,3
257,Divided We Fall (Musíme si pomáhat) (2000),3.83,3
258,Atlantis: The Lost Empire (2001),3.34,19
259,Lara Croft: Tomb Raider (2001),2.9,40
260,Dr. Dolittle 2 (2001),2.36,11
261,"Fast and the Furious, The (2001)",3.07,45
262,A.I. Artificial Intelligence (2001),3.34,56
263,Baby Boy (2001),0.5,1
264,Crazy/Beautiful (2001),3.4,5
265,Pootie Tang (2001),3.17,3
266,Sexy Beast (2000),3.71,14
267,"Princess and the Warrior, The (Krieger und die Kaiserin, Der) (2000)",3.86,7
268,"Closet, The (Placard, Le) (2001)",3.38,4
269,"Crimson Rivers, The (Rivières pourpres, Les) (2000)",3.5,5
270,Lumumba (2000),3.0,1
271,Cats & Dogs (2001),2.82,11
272,Kiss of the Dragon (2001),3.78,9
273,Scary Movie 2 (2001),2.65,26
274,Lost and Delirious (2001),3.62,4
275,Rape Me (Baise-moi) (2000),3.5,2
276,Final Fantasy: The Spirits Within (2001),3.35,31
277,Legally Blonde (2001),3.16,64
278,"Score, The (2001)",3.55,20
279,Adanggaman (2000),2.0,1
280,Bully (2001),3.64,7
281,Jump Tomorrow (2001),3.5,1
282,Made (2001),2.67,6
283,Michael Jordan to the Max (2000),3.5,1
284,Jurassic Park III (2001),2.85,36
285,America's Sweethearts (2001),2.58,18
286,Brother (2000),3.75,4
287,Ghost World (2001),3.5,34
288,Hedwig and the Angry Inch (2000),4.18,11
289,Planet of the Apes (2001),2.74,49
290,Bread and Tulips (Pane e tulipani) (2000),3.67,3
291,Greenfingers (2000),1.5,1
292,Wet Hot American Summer (2001),3.64,7
293,Original Sin (2001),2.75,2
294,"Princess Diaries, The (2001)",3.04,27
295,Rush Hour 2 (2001),3.37,31
296,American Pie 2 (2001),3.07,45
297,Osmosis Jones (2001),2.62,8
298,"Others, The (2001)",3.63,55
299,American Outlaws (2001),2.12,4
300,All Over the Guy (2001),3.0,1
301,"Deep End, The (2001)",1.83,3
302,Session 9 (2001),3.62,4
303,Captain Corelli's Mandolin (2001),3.12,4
304,Rat Race (2001),3.06,18
305,Bubble Boy (2001),1.89,9
306,"Curse of the Jade Scorpion, The (2001)",2.5,3
307,Jay and Silent Bob Strike Back (2001),3.16,34
308,Ghosts of Mars (2001),2.6,5
309,Summer Catch (2001),2.67,3
310,Happy Accidents (2000),4.0,4
311,Maybe Baby (2000),3.5,1
312,Together (Tillsammans) (2000),3.71,7
313,Tortilla Soup (2001),3.25,2
314,Jeepers Creepers (2001),2.5,7
315,O (2001),3.62,4
316,"Musketeer, The (2001)",1.5,2
317,Rock Star (2001),2.5,3
318,Two Can Play That Game (2001),4.0,1
319,L.I.E. (2001),4.33,3
320,"Our Lady of the Assassins (Virgen de los sicarios, La) (2000)",4.0,1
321,Into the Arms of Strangers: Stories of the Kindertransport (2000),3.0,1
322,"Glass House, The (2001)",2.75,2
323,Hardball (2001),2.67,3
324,Dinner Rush (2000),3.5,1
325,Haiku Tunnel (2001),3.0,4
326,Big Trouble (2002),2.17,6
327,Glitter (2001),0.5,1
328,Training Day (2001),3.79,51
329,"American Astronaut, The (2001)",2.5,1
330,Liam (2000),2.0,2
331,Sidewalks of New York (2001),2.5,2
332,"Endurance: Shackleton's Legendary Antarctic Expedition, The (2000)",3.5,1
333,Don't Say a Word (2001),2.5,5
334,Hearts in Atlantis (2001),2.92,6
335,Zoolander (2001),3.51,54
336,Extreme Days (2001),2.0,1
337,Joy Ride (2001),3.1,5
338,Max Keeble's Big Move (2001),2.5,3
339,Serendipity (2001),3.14,25
340,"Swamp, The (Ciénaga, La) (2001)",3.0,1
341,Bandits (2001),2.67,6
342,Corky Romano (2001),1.33,3
343,Fat Girl (À ma soeur!) (2001),3.0,2
344,Mulholland Drive (2001),3.84,51
345,My First Mister (2001),3.33,3
346,Bones (2001),1.67,3
347,From Hell (2001),3.65,20
348,"Last Castle, The (2001)",2.81,8
349,Riding in Cars with Boys (2001),3.1,5
350,Focus (2001),3.5,1
351,Waking Life (2001),3.68,19
352,K-PAX (2001),3.48,33
353,Thirteen Ghosts (a.k.a. Thir13en Ghosts) (2001),2.46,12
354,Better Than Sex (2000),3.5,1
355,Donnie Darko (2001),3.98,109
356,High Heels and Low Lifes (2001),3.0,1
357,Life as a House (2001),3.89,9
358,"Man Who Wasn't There, The (2001)",3.74,17
359,"Town is Quiet, The (Ville est tranquille, La) (2000)",4.0,1
360,Domestic Disturbance (2001),2.0,1
361,"Monsters, Inc. (2001)",3.87,132
362,"One, The (2001)",2.75,14
363,Tape (2001),3.88,4
364,Heist (2001),3.43,7
365,Shallow Hal (2001),3.03,31
366,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),3.76,107
367,Novocaine (2001),2.62,4
368,Black Knight (2001),2.19,8
369,Out Cold (2001),3.0,5
370,Spy Game (2001),3.48,27
371,"Devil's Backbone, The (Espinazo del diablo, El) (2001)",3.35,10
372,In the Bedroom (2001),3.0,10
373,Everybody's Famous! (Iedereen beroemd!) (2000),2.0,1
374,Behind Enemy Lines (2001),3.25,20
375,"Affair of the Necklace, The (2001)",3.25,2
376,Pornstar: The Legend of Ron Jeremy (2001),2.5,1
377,Texas Rangers (2001),2.0,1
378,Ocean's Eleven (2001),3.84,119
379,Baran (2001),3.5,1
380,"Business of Strangers, The (2001)",3.5,2
381,No Man's Land (2001),4.19,13
382,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",4.18,120
383,Not Another Teen Movie (2001),2.57,14
384,Vanilla Sky (2001),3.42,44
385,Iris (2001),3.88,4
386,Kandahar (Safar e Ghandehar) (2001),3.5,2
387,Lantana (2001),3.83,6
388,"Royal Tenenbaums, The (2001)",3.68,68
389,How High (2001),2.94,9
390,Jimmy Neutron: Boy Genius (2001),3.2,5
391,Joe Somebody (2001),3.33,3
392,Kate & Leopold (2001),3.21,17
393,"Lord of the Rings: The Fellowship of the Ring, The (2001)",4.11,198
394,"Majestic, The (2001)",3.5,10
395,"Beautiful Mind, A (2001)",4.0,123
396,Ali (2001),3.0,8
397,Black Hawk Down (2001),3.81,50
398,Charlotte Gray (2001),3.75,2
399,Gosford Park (2001),3.7,27
400,I Am Sam (2001),3.76,17
401,Monster's Ball (2001),3.31,18
402,"Shipping News, The (2001)",3.0,6
403,Orange County (2002),2.63,15
404,"Brotherhood of the Wolf (Pacte des loups, Le) (2001)",3.82,14
405,What Time Is It There? (Ni neibian jidian) (2001),2.0,1
406,Impostor (2002),3.0,3
407,Kung Pow: Enter the Fist (2002),3.22,9
408,Snow Dogs (2002),2.33,6
409,Italian for Beginners (Italiensk for begyndere) (2000),3.0,2
410,The Count of Monte Cristo (2002),3.83,32
411,"Mothman Prophecies, The (2002)",3.08,13
412,"Walk to Remember, A (2002)",3.5,14
413,Beijing Bicycle (Shiqi sui de dan che) (2001),4.0,1
414,Escaflowne: The Movie (Escaflowne) (2000),3.25,2
415,Maelström (2000),4.0,1
416,Metropolis (2001),3.96,13
417,"Son's Room, The (Stanza del figlio, La) (2001)",3.83,3
418,Storytelling (2001),3.17,3
419,Waydowntown (2000),3.67,3
420,Slackers (2002),2.6,5
421,Birthday Girl (2001),2.8,5
422,Rare Birds (2001),3.5,2
423,Big Fat Liar (2002),3.0,5
424,Collateral Damage (2002),2.78,9
425,Rollerball (2002),1.79,7
426,"Scotland, Pa. (2001)",4.5,1
427,Crossroads (2002),2.07,7
428,Hart's War (2002),3.1,5
429,John Q (2002),2.91,11
430,Return to Never Land (2002),4.0,1
431,Super Troopers (2001),3.6,24
432,Last Orders (2001),3.0,1
433,Dragonfly (2002),3.5,3
434,Queen of the Damned (2002),2.36,11
435,How to Kill Your Neighbor's Dog (2000),3.25,2
436,Mean Machine (2001),3.0,2
437,Monsoon Wedding (2001),3.83,12
438,Wendigo (2001),2.5,2
439,Scratch (2001),3.83,3
440,Vampire Hunter D: Bloodlust (Banpaia hantâ D) (2000),3.11,9
441,40 Days and 40 Nights (2002),3.0,18
442,We Were Soldiers (2002),3.33,18
443,All About the Benjamins (2002),2.5,2
444,"Time Machine, The (2002)",2.86,22
445,Ice Age (2002),3.69,85
446,Resident Evil (2002),3.08,30
447,Showtime (2002),2.4,10
448,Harrison's Flowers (2000),3.0,1
449,Kissing Jessica Stein (2001),3.38,4
450,Promises (2001),4.25,2
451,And Your Mother Too (Y tu mamá también) (2001),3.95,21
452,Blade II (2002),3.21,34
453,Sorority Boys (2002),2.38,4
454,Stolen Summer (2002),2.75,2
455,George Washington (2000),2.0,2
456,Clockstoppers (2002),2.25,4
457,Death to Smoochy (2002),3.32,11
458,Panic Room (2002),3.0,37
459,"Rookie, The (2002)",3.29,12
460,No Such Thing (2001),2.5,1
461,"Piano Teacher, The (La pianiste) (2001)",4.0,1
462,Time Out (L'emploi du temps) (2001),3.0,1
463,High Crimes (2002),3.25,2
464,National Lampoon's Van Wilder (2002),2.91,22
465,Crush (2001),2.5,1
466,Lucky Break (2001),4.0,1
467,Changing Lanes (2002),3.33,9
468,Frailty (2001),3.86,11
469,"Sweetest Thing, The (2002)",2.9,10
470,"Cat's Meow, The (2002)",2.5,2
471,Human Nature (2001),3.5,5
472,My Big Fat Greek Wedding (2002),3.27,60
473,Murder by Numbers (2002),2.86,7
474,The Scorpion King (2002),2.3,22
475,Enigma (2001),3.14,7
476,Nine Queens (Nueve reinas) (2000),3.5,6
477,"Triumph of Love, The (2001)",2.0,1
478,World Traveler (2001),4.0,1
479,Jason X (2002),1.19,8
480,Life or Something Like It (2002),2.75,2
481,Dogtown and Z-Boyz (2001),3.79,7
482,Rain (2001),5.0,1
483,"Salton Sea, The (2002)",3.35,10
484,Deuces Wild (2002),2.5,2
485,Hollywood Ending (2002),4.0,1
486,Spider-Man (2002),3.54,122
487,"New Guy, The (2002)",2.5,9
488,Unfaithful (2002),3.5,7
489,"Lady and the Duke, The (Anglaise et le duc, L') (2001)",4.0,1
490,About a Boy (2002),3.72,44
491,Star Wars: Episode II - Attack of the Clones (2002),3.16,92
492,"Believer, The (2001)",4.25,6
493,"Importance of Being Earnest, The (2002)",3.85,10
494,Enough (2002),4.0,3
495,Insomnia (2002),3.3,33
496,Spirit: Stallion of the Cimarron (2002),3.5,2
497,CQ (2001),3.0,1
498,Thirteen Conversations About One Thing (a.k.a. 13 Conversations) (2001),4.0,3
499,"Sum of All Fears, The (2002)",2.97,17
500,Undercover Brother (2002),1.83,9
501,Bad Company (2002),2.88,4
502,Divine Secrets of the Ya-Ya Sisterhood (2002),3.12,4
503,Cherish (2002),5.0,1
504,"Fast Runner, The (Atanarjuat) (2001)",3.83,3
505,"Bourne Identity, The (2002)",3.82,112
506,Scooby-Doo (2002),2.85,17
507,Windtalkers (2002),2.88,8
508,"Dangerous Lives of Altar Boys, The (2002)",3.5,6
509,"Emperor's New Clothes, The (2001)",4.0,1
510,Gangster No. 1 (2000),3.0,3
511,Harvard Man (2001),3.0,1
512,Dark Blue World (Tmavomodrý svet) (2001),4.25,2
513,Juwanna Mann (2002),1.5,2
514,Lilo & Stitch (2002),3.81,29
515,Minority Report (2002),3.64,120
516,Rabbit-Proof Fence (2002),3.64,7
517,Sunshine State (2002),3.5,2
518,Hey Arnold! The Movie (2002),2.0,1
519,Mr. Deeds (2002),2.91,22
520,Lovely & Amazing (2001),3.2,5
521,Pumpkin (2002),3.0,5
522,Like Mike (2002),2.5,1
523,Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002),2.96,61
524,"Powerpuff Girls, The (2002)",3.67,3
525,Me Without You (2001),2.5,1
526,"Crocodile Hunter: Collision Course, The (2002)",2.5,2
527,Reign of Fire (2002),2.72,18
528,Road to Perdition (2002),3.52,49
529,All About Lily Chou-Chou (Riri Shushu no subete) (2001),3.0,1
530,My Wife is an Actress (Ma Femme est une Actrice) (2001),4.0,4
531,Halloween: Resurrection (Halloween 8) (2002),2.0,3
532,Sex and Lucia (Lucía y el sexo) (2001),3.88,4
533,Eight Legged Freaks (2002),2.75,8
534,K-19: The Widowmaker (2002),3.5,6
535,Stuart Little 2 (2002),2.6,5
536,Austin Powers in Goldmember (2002),2.85,65
537,"Kid Stays in the Picture, The (2002)",3.83,3
538,Tadpole (2002),3.33,3
539,Who Is Cletis Tout? (2001),2.5,2
540,"Master of Disguise, The (2002)",1.86,7
541,Signs (2002),3.17,63
542,"Last Kiss, The (Ultimo bacio, L') (2001)",4.0,1
543,Spy Kids 2: The Island of Lost Dreams (2002),2.21,7
544,"Good Girl, The (2002)",3.21,12
545,Blood Work (2002),3.33,3
546,xXx (2002),2.77,24
547,24 Hour Party People (2002),3.57,7
548,Secret Ballot (Raye makhfi) (2001),3.25,2
549,Martin Lawrence Live: Runteldat (2002),5.0,1
550,Songs From the Second Floor (Sånger från andra våningen) (2000),3.5,1
551,"Adventures of Pluto Nash, The (2002)",2.33,3
552,Blue Crush (2002),2.69,8
553,Mostly Martha (Bella Martha) (2001),3.5,1
554,Possession (2002),3.5,4
555,One Hour Photo (2002),3.47,19
556,Serving Sara (2002),3.25,2
557,Simone (S1m0ne) (2002),2.14,7
558,Undisputed (2002),2.75,2
559,Amy's O (a.k.a. Amy's Orgasm) (2001),4.0,1
560,Satin Rouge (2002),5.0,1
561,FearDotCom (a.k.a. Fear.com) (a.k.a. Fear Dot Com) (2002),1.5,3
562,Snipes (2001),2.5,1
563,City by the Sea (2002),2.83,3
564,Swimfan (2002),2.0,2
565,Barbershop (2002),2.71,7
566,Stealing Harvard (2002),2.29,7
567,"Transporter, The (2002)",3.52,26
568,Alias Betty (Betty Fisher et autres histoires) (2001),2.0,1
569,Igby Goes Down (2002),3.67,12
570,"Son of the Bride (Hijo de la novia, El) (2001)",5.0,1
571,"Das Experiment (Experiment, The) (2001)",3.86,11
572,Ballistic: Ecks vs. Sever (2002),2.5,2
573,"Banger Sisters, The (2002)",2.0,3
574,"Four Feathers, The (2002)",2.75,2
575,Trapped (2002),2.0,1
576,8 Women (2002),3.83,3
577,"His Secret Life (a.k.a. Ignorant Fairies, The) (Fate ignoranti, Le) (2001)",4.5,1
578,Invincible (2001),3.5,1
579,Secretary (2002),3.9,25
580,Spirited Away (Sen to Chihiro no kamikakushi) (2001),4.16,87
581,"Trials of Henry Kissinger, The (2002)",4.0,2
582,Sweet Home Alabama (2002),3.05,28
583,"Tuxedo, The (2002)",2.5,10
584,Moonlight Mile (2002),3.5,3
585,Wasabi (2001),3.5,5
586,Jonah: A VeggieTales Movie (2002),2.0,1
587,Red Dragon (2002),3.44,31
588,Bloody Sunday (2002),3.6,5
589,Heaven (2002),3.75,2
590,"Man from Elysian Fields, The (2001)",3.0,1
591,Welcome to Collinwood (2002),2.5,2
592,Below (2002),3.5,1
593,Brown Sugar (2002),1.5,1
594,Knockaround Guys (2002),2.5,5
595,"Rules of Attraction, The (2002)",3.6,5
596,Tuck Everlasting (2002),3.25,2
597,White Oleander (2002),2.5,4
598,Bowling for Columbine (2002),3.78,58
599,Comedian (2002),3.0,2
600,Pokemon 4 Ever (a.k.a. Pokémon 4: The Movie) (2002),0.5,2
601,Punch-Drunk Love (2002),3.62,33
602,Swept Away (2002),1.0,1
603,Formula 51 (2001),2.67,3
604,"Ring, The (2002)",3.2,47
605,Auto Focus (2002),3.17,3
606,"Grey Zone, The (2001)",3.25,2
607,Naqoyqatsi (2002),3.0,1
608,Real Women Have Curves (2002),4.25,2
609,Tully (2000),2.75,2
610,Ghost Ship (2002),2.5,9
611,Jackass: The Movie (2002),3.5,17
612,Paid in Full (2002),4.5,1
613,"Truth About Charlie, The (2002)",2.5,1
614,All or Nothing (2002),3.67,3
615,Frida (2002),3.78,16
616,Roger Dodger (2002),3.67,6
617,I Spy (2002),2.5,7
618,"Santa Clause 2, The (2002)",2.3,5
619,Femme Fatale (2002),3.38,4
620,8 Mile (2002),3.29,41
621,Far from Heaven (2002),3.86,11
622,Harry Potter and the Chamber of Secrets (2002),3.6,102
623,Ararat (2002),4.5,1
624,"Crime of Father Amaro, The (Crimen del padre Amaro, El) (2002)",4.5,1
625,Standing in the Shadows of Motown (2002),3.5,3
626,Men with Brooms (2002),4.0,1
627,Dog Soldiers (2002),4.67,3
628,Die Another Day (2002),2.93,27
629,The Emperor's Club (2002),3.88,4
630,Friday After Next (2002),2.4,5
631,Personal Velocity (2002),2.5,1
632,"Quiet American, The (2002)",3.9,5
633,Talk to Her (Hable con Ella) (2002),4.04,14
634,Eight Crazy Nights (Adam Sandler's Eight Crazy Nights) (2002),1.5,4
635,Extreme Ops (2002),1.75,2
636,Solaris (2002),3.08,20
637,Treasure Planet (2002),3.56,8
638,They (2002),1.5,1
639,Elling (2001),4.5,2
640,Analyze That (2002),2.56,8
641,Empire (2002),4.5,1
642,Adaptation (2002),3.95,46
643,Equilibrium (2002),3.88,44
644,Visitor Q (Bizita Q) (2001),3.3,5
645,Drumline (2002),2.92,6
646,"Hot Chick, The (2002)",2.83,6
647,Maid in Manhattan (2002),2.61,19
648,Star Trek: Nemesis (2002),3.11,19
649,About Schmidt (2002),3.17,26
650,Evelyn (2002),3.0,1
651,Intact (Intacto) (2001),4.25,2
652,Morvern Callar (2002),3.25,4
653,"Lord of the Rings: The Two Towers, The (2002)",4.02,188
654,Devils on the Doorstep (Guizi lai le) (2000),4.0,1
655,25th Hour (2002),3.84,22
656,Antwone Fisher (2002),3.56,9
